DateKey,Date,Day,WeekNum,Month,MonthShort,MonthNum,Quarter,Year
20211210,10/12/2021,Friday,50,December,Dec,12,4,2021
20211211,11/12/2021,Saturday,50,December,Dec,12,4,2021
20211212,12/12/2021,Sunday,51,December,Dec,12,4,2021
20211213,13/12/2021,Monday,51,December,Dec,12,4,2021
20211214,14/12/2021,Tuesday,51,December,Dec,12,4,2021
20211215,15/12/2021,Wednesday,51,December,Dec,12,4,2021
20211216,16/12/2021,Thursday,51,December,Dec,12,4,2021
20211217,17/12/2021,Friday,51,December,Dec,12,4,2021
20211218,18/12/2021,Saturday,51,December,Dec,12,4,2021
20211219,19/12/2021,Sunday,52,December,Dec,12,4,2021
20211220,20/12/2021,Monday,52,December,Dec,12,4,2021
20211221,21/12/2021,Tuesday,52,December,Dec,12,4,2021
20211222,22/12/2021,Wednesday,52,December,Dec,12,4,2021
20211223,23/12/2021,Thursday,52,December,Dec,12,4,2021
20211224,24/12/2021,Friday,52,December,Dec,12,4,2021
20211225,25/12/2021,Saturday,52,December,Dec,12,4,2021
20211226,26/12/2021,Sunday,53,December,Dec,12,4,2021
20211227,27/12/2021,Monday,53,December,Dec,12,4,2021
20211228,28/12/2021,Tuesday,53,December,Dec,12,4,2021
20211229,29/12/2021,Wednesday,53,December,Dec,12,4,2021
20211230,30/12/2021,Thursday,53,December,Dec,12,4,2021
20211231,31/12/2021,Friday,53,December,Dec,12,4,2021
20220101,1/1/2022,Saturday,1,January,Jan,1,1,2022
20220102,2/1/2022,Sunday,2,January,Jan,1,1,2022
20220103,3/1/2022,Monday,2,January,Jan,1,1,2022
20220104,4/1/2022,Tuesday,2,January,Jan,1,1,2022
20220105,5/1/2022,Wednesday,2,January,Jan,1,1,2022
20220106,6/1/2022,Thursday,2,January,Jan,1,1,2022
20220107,7/1/2022,Friday,2,January,Jan,1,1,2022
20220108,8/1/2022,Saturday,2,January,Jan,1,1,2022
20220109,9/1/2022,Sunday,3,January,Jan,1,1,2022
20220110,10/1/2022,Monday,3,January,Jan,1,1,2022
20220111,11/1/2022,Tuesday,3,January,Jan,1,1,2022
20220112,12/1/2022,Wednesday,3,January,Jan,1,1,2022
20220113,13/1/2022,Thursday,3,January,Jan,1,1,2022
20220114,14/1/2022,Friday,3,January,Jan,1,1,2022
20220115,15/1/2022,Saturday,3,January,Jan,1,1,2022
20220116,16/1/2022,Sunday,4,January,Jan,1,1,2022
20220117,17/1/2022,Monday,4,January,Jan,1,1,2022
20220118,18/1/2022,Tuesday,4,January,Jan,1,1,2022
20220119,19/1/2022,Wednesday,4,January,Jan,1,1,2022
20220120,20/1/2022,Thursday,4,January,Jan,1,1,2022
20220121,21/1/2022,Friday,4,January,Jan,1,1,2022
20220122,22/1/2022,Saturday,4,January,Jan,1,1,2022
20220123,23/1/2022,Sunday,5,January,Jan,1,1,2022
20220124,24/1/2022,Monday,5,January,Jan,1,1,2022
20220125,25/1/2022,Tuesday,5,January,Jan,1,1,2022
20220126,26/1/2022,Wednesday,5,January,Jan,1,1,2022
20220127,27/1/2022,Thursday,5,January,Jan,1,1,2022
20220128,28/1/2022,Friday,5,January,Jan,1,1,2022
20220129,29/1/2022,Saturday,5,January,Jan,1,1,2022
20220130,30/1/2022,Sunday,6,January,Jan,1,1,2022
20220131,31/1/2022,Monday,6,January,Jan,1,1,2022
20220201,1/2/2022,Tuesday,6,February,Feb,2,1,2022
20220202,2/2/2022,Wednesday,6,February,Feb,2,1,2022
20220203,3/2/2022,Thursday,6,February,Feb,2,1,2022
20220204,4/2/2022,Friday,6,February,Feb,2,1,2022
20220205,5/2/2022,Saturday,6,February,Feb,2,1,2022
20220206,6/2/2022,Sunday,7,February,Feb,2,1,2022
20220207,7/2/2022,Monday,7,February,Feb,2,1,2022
20220208,8/2/2022,Tuesday,7,February,Feb,2,1,2022
20220209,9/2/2022,Wednesday,7,February,Feb,2,1,2022
20220210,10/2/2022,Thursday,7,February,Feb,2,1,2022
20220211,11/2/2022,Friday,7,February,Feb,2,1,2022
20220212,12/2/2022,Saturday,7,February,Feb,2,1,2022
20220213,13/2/2022,Sunday,8,February,Feb,2,1,2022
20220214,14/2/2022,Monday,8,February,Feb,2,1,2022
20220215,15/2/2022,Tuesday,8,February,Feb,2,1,2022
20220216,16/2/2022,Wednesday,8,February,Feb,2,1,2022
20220217,17/2/2022,Thursday,8,February,Feb,2,1,2022
20220218,18/2/2022,Friday,8,February,Feb,2,1,2022
20220219,19/2/2022,Saturday,8,February,Feb,2,1,2022
20220220,20/2/2022,Sunday,9,February,Feb,2,1,2022
20220221,21/2/2022,Monday,9,February,Feb,2,1,2022
20220222,22/2/2022,Tuesday,9,February,Feb,2,1,2022
20220223,23/2/2022,Wednesday,9,February,Feb,2,1,2022
20220224,24/2/2022,Thursday,9,February,Feb,2,1,2022
20220225,25/2/2022,Friday,9,February,Feb,2,1,2022
20220226,26/2/2022,Saturday,9,February,Feb,2,1,2022
20220227,27/2/2022,Sunday,10,February,Feb,2,1,2022
20220228,28/2/2022,Monday,10,February,Feb,2,1,2022
20220301,1/3/2022,Tuesday,10,March,Mar,3,1,2022
20220302,2/3/2022,Wednesday,10,March,Mar,3,1,2022
20220303,3/3/2022,Thursday,10,March,Mar,3,1,2022
20220304,4/3/2022,Friday,10,March,Mar,3,1,2022
20220305,5/3/2022,Saturday,10,March,Mar,3,1,2022
20220306,6/3/2022,Sunday,11,March,Mar,3,1,2022
20220307,7/3/2022,Monday,11,March,Mar,3,1,2022
20220308,8/3/2022,Tuesday,11,March,Mar,3,1,2022
20220309,9/3/2022,Wednesday,11,March,Mar,3,1,2022
20220310,10/3/2022,Thursday,11,March,Mar,3,1,2022
20220311,11/3/2022,Friday,11,March,Mar,3,1,2022
20220312,12/3/2022,Saturday,11,March,Mar,3,1,2022
20220313,13/3/2022,Sunday,12,March,Mar,3,1,2022
20220314,14/3/2022,Monday,12,March,Mar,3,1,2022
20220315,15/3/2022,Tuesday,12,March,Mar,3,1,2022
20220316,16/3/2022,Wednesday,12,March,Mar,3,1,2022
20220317,17/3/2022,Thursday,12,March,Mar,3,1,2022
20220318,18/3/2022,Friday,12,March,Mar,3,1,2022
20220319,19/3/2022,Saturday,12,March,Mar,3,1,2022
20220320,20/3/2022,Sunday,13,March,Mar,3,1,2022
